Date,Site ID,Site,Protection status,Substrate,Transect number,Transect area,Depth,Rugosity,Heading,Species code,Species name,Diet,Guild,Size,Count,aL,bL,a,b
,HUU10,Hanauma,Unprotected,Uncolonized hardbottom,10,125,2,10.84,160,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
3/15/19,HUU2,Hanauma,Unprotected,Uncolonized hardbottom,2,50,8,12.47,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,1,0,10,0.002,2.64
3/15/19,HUU2,Hanauma,Unprotected,Uncolonized hardbottom,2,50,8,12.47,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,2,0,10,0.002,2.64
3/15/19,HUU2,Hanauma,Unprotected,Uncolonized hardbottom,2,50,8,12.47,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,18,0,10,0.002,2.64
3/15/19,HUU2,Hanauma,Unprotected,Uncolonized hardbottom,2,50,8,12.47,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,4,0,10,0.002,2.64
3/15/19,HUU2,Hanauma,Unprotected,Uncolonized hardbottom,2,50,8,12.47,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,,143,0,10,0.002,2.64
3/15/19,HUU3,Hanauma,Unprotected,Uncolonized hardbottom,3,50,6,12.06,60,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,2,0,10,0.002,2.64
3/15/19,HUU3,Hanauma,Unprotected,Uncolonized hardbottom,3,50,6,12.06,60,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,9,0,10,0.002,2.64
3/15/19,HUU3,Hanauma,Unprotected,Uncolonized hardbottom,3,50,6,12.06,60,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,9,0,10,0.002,2.64
3/15/19,HUU3,Hanauma,Unprotected,Uncolonized hardbottom,3,50,6,12.06,60,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,5,0,10,0.002,2.64
3/15/19,HUU3,Hanauma,Unprotected,Uncolonized hardbottom,3,50,6,12.06,60,ECMA,Echinometra mathaei,Urchin,Boring urchin,,83,0,10,0.002,2.64
3/15/19,HUU4,Hanauma,Unprotected,Uncolonized hardbottom,4,50,5,12.84,190,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,2,0,10,0.002,2.64
3/15/19,HUU4,Hanauma,Unprotected,Uncolonized hardbottom,4,50,5,12.84,190,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,5,0,10,0.002,2.64
3/15/19,HUU4,Hanauma,Unprotected,Uncolonized hardbottom,4,50,5,12.84,190,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,14,0,10,0.002,2.64
3/15/19,HUU4,Hanauma,Unprotected,Uncolonized hardbottom,4,50,5,12.84,190,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,4,0,10,0.002,2.64
3/15/19,HUU4,Hanauma,Unprotected,Uncolonized hardbottom,4,50,5,12.84,190,ECMA,Echinometra mathaei,Urchin,Boring urchin,,362,0,10,0.002,2.64
3/17/19,HUU5,Hanauma,Unprotected,Uncolonized hardbottom,5,50,7,12.85,65,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,2,0,10,0.002,2.64
3/17/19,HUU5,Hanauma,Unprotected,Uncolonized hardbottom,5,50,7,12.85,65,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,9,0,10,0.002,2.64
3/17/19,HUU5,Hanauma,Unprotected,Uncolonized hardbottom,5,50,7,12.85,65,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,10,0,10,0.002,2.64
3/17/19,HUU5,Hanauma,Unprotected,Uncolonized hardbottom,5,50,7,12.85,65,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,3,0,10,0.002,2.64
3/17/19,HUU6,Hanauma,Unprotected,Uncolonized hardbottom,6,50,8,12.19,10,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,5,0,10,0.002,2.64
3/17/19,HUU6,Hanauma,Unprotected,Uncolonized hardbottom,6,50,8,12.19,10,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,10,0,10,0.002,2.64
3/17/19,HUU6,Hanauma,Unprotected,Uncolonized hardbottom,6,50,8,12.19,10,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,9,0,10,0.002,2.64
3/17/19,HUU6,Hanauma,Unprotected,Uncolonized hardbottom,6,50,8,12.19,10,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,1,0,10,0.002,2.64
3/17/19,HUU6,Hanauma,Unprotected,Uncolonized hardbottom,6,50,8,12.19,10,ECMA,Echinometra mathaei,Urchin,Boring urchin,,20,0,10,0.002,2.64
,HUU7,Hanauma,Unprotected,Uncolonized hardbottom,7,125,2,11.12,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,HUU8,Hanauma,Unprotected,Uncolonized hardbottom,8,125,3,12.28,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
3/15/19,HUU9,Hanauma,Unprotected,Uncolonized hardbottom,9,50,3,11.84,15,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,1,0,10,0.002,2.64
,KPC1,Kaneohe,Protected,Colonized hardbottom,1,125,24,13.5,280,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPC10,Kaneohe,Protected,Colonized hardbottom,10,125,11,26.2,240,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPC2,Kaneohe,Protected,Colonized hardbottom,2,125,16,13.9,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPC3,Kaneohe,Protected,Colonized hardbottom,3,125,12,13.7,140,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPC4,Kaneohe,Protected,Colonized hardbottom,4,125,12,14.4,160,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPC5,Kaneohe,Protected,Colonized hardbottom,5,125,19,16.2,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPC6,Kaneohe,Protected,Colonized hardbottom,6,125,4,14.6,335,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPC7,Kaneohe,Protected,Colonized hardbottom,7,125,4,16.4,215,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPC8,Kaneohe,Protected,Colonized hardbottom,8,125,8,23.4,310,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPC9,Kaneohe,Protected,Colonized hardbottom,9,125,11,23.3,185,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPU1,Kaneohe,Protected,Uncolonized hardbottom,1,125,19,16.1,210,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPU10,Kaneohe,Protected,Uncolonized hardbottom,10,125,15,22.1,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPU2,Kaneohe,Protected,Uncolonized hardbottom,2,125,14,14.8,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPU3,Kaneohe,Protected,Uncolonized hardbottom,3,125,4,10.6,200,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPU4,Kaneohe,Protected,Uncolonized hardbottom,4,125,5,14.9,"150, 200",ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPU5,Kaneohe,Protected,Uncolonized hardbottom,5,125,11,13.2,"150, 200",ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KPU6,Kaneohe,Protected,Uncolonized hardbottom,6,125,10,12.9,"330, 200",ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
7/29/18,KPU7,Kaneohe,Protected,Uncolonized hardbottom,7,50,5,14.8,350,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,1,0,10,0.002,2.64
7/29/18,KPU7,Kaneohe,Protected,Uncolonized hardbottom,7,50,5,14.8,350,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,3,0,10,0.002,2.64
7/29/18,KPU7,Kaneohe,Protected,Uncolonized hardbottom,7,50,5,14.8,350,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,2,0,10,0.002,2.64
,KPU8,Kaneohe,Protected,Uncolonized hardbottom,8,125,5,11.6,75,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
8/5/18,KPU9,Kaneohe,Protected,Uncolonized hardbottom,9,50,5,18.8,210,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,2,0,10,0.002,2.64
8/5/18,KPU9,Kaneohe,Protected,Uncolonized hardbottom,9,50,5,18.8,210,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,2,0,10,0.002,2.64
8/5/18,KPU9,Kaneohe,Protected,Uncolonized hardbottom,9,50,5,18.8,210,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,2,0,10,0.002,2.64
8/5/18,KPU9,Kaneohe,Protected,Uncolonized hardbottom,9,50,5,18.8,210,ECMA,Echinometra mathaei,Urchin,Boring urchin,6,1,0,10,0.002,2.64
8/19/18,KUC1,Kaneohe,Unprotected,Colonized hardbottom,1,50,13,17.7,155,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,3,0,10,0.002,2.64
8/19/18,KUC1,Kaneohe,Unprotected,Colonized hardbottom,1,50,13,17.7,155,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,4,0,10,0.002,2.64
8/19/18,KUC1,Kaneohe,Unprotected,Colonized hardbottom,1,50,13,17.7,155,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,11,0,10,0.002,2.64
8/19/18,KUC1,Kaneohe,Unprotected,Colonized hardbottom,1,50,13,17.7,155,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,7,0,10,0.002,2.64
8/19/18,KUC1,Kaneohe,Unprotected,Colonized hardbottom,1,50,13,17.7,155,ECMA,Echinometra mathaei,Urchin,Boring urchin,,153,0,10,0.002,2.64
,KUC10,Kaneohe,Unprotected,Colonized hardbottom,10,125,12,14.8,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
8/19/18,KUC2,Kaneohe,Unprotected,Colonized hardbottom,2,50,12,17.2,280,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,4,0,10,0.002,2.64
8/19/18,KUC2,Kaneohe,Unprotected,Colonized hardbottom,2,50,12,17.2,280,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,6,0,10,0.002,2.64
8/19/18,KUC2,Kaneohe,Unprotected,Colonized hardbottom,2,50,12,17.2,280,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,6,0,10,0.002,2.64
8/19/18,KUC2,Kaneohe,Unprotected,Colonized hardbottom,2,50,12,17.2,280,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,1,0,10,0.002,2.64
8/19/18,KUC3,Kaneohe,Unprotected,Colonized hardbottom,3,50,22,20.6,330,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,7,0,10,0.002,2.64
8/19/18,KUC3,Kaneohe,Unprotected,Colonized hardbottom,3,50,22,20.6,330,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,8,0,10,0.002,2.64
8/19/18,KUC3,Kaneohe,Unprotected,Colonized hardbottom,3,50,22,20.6,330,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,6,0,10,0.002,2.64
8/19/18,KUC3,Kaneohe,Unprotected,Colonized hardbottom,3,50,22,20.6,330,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,2,0,10,0.002,2.64
,KUC4,Kaneohe,Unprotected,Colonized hardbottom,4,125,5,12.8,70,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KUC5,Kaneohe,Unprotected,Colonized hardbottom,5,125,12,21.2,25,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KUC6,Kaneohe,Unprotected,Colonized hardbottom,6,125,11,17.8,330,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KUC7,Kaneohe,Unprotected,Colonized hardbottom,7,125,8,20.3,220,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KUC8,Kaneohe,Unprotected,Colonized hardbottom,8,125,11,20,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KUC9,Kaneohe,Unprotected,Colonized hardbottom,9,125,4,19.3,240,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
8/19/18,KUU1,Kaneohe,Unprotected,Uncolonized hardbottom,1,50,5,12.4,350,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,2,0,10,0.002,2.64
9/8/18,KUU10,Kaneohe,Unprotected,Uncolonized hardbottom,10,50,12,10.8,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,6,0,10,0.002,2.64
9/8/18,KUU10,Kaneohe,Unprotected,Uncolonized hardbottom,10,50,12,10.8,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,16,0,10,0.002,2.64
9/8/18,KUU10,Kaneohe,Unprotected,Uncolonized hardbottom,10,50,12,10.8,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,3,0,10,0.002,2.64
8/19/18,KUU2,Kaneohe,Unprotected,Uncolonized hardbottom,2,50,4,11,190,ECMA,Echinometra mathaei,Urchin,Boring urchin,1,1,0,10,0.002,2.64
8/19/18,KUU2,Kaneohe,Unprotected,Uncolonized hardbottom,2,50,4,11,190,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,1,0,10,0.002,2.64
8/19/18,KUU2,Kaneohe,Unprotected,Uncolonized hardbottom,2,50,4,11,190,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,3,0,10,0.002,2.64
8/19/18,KUU2,Kaneohe,Unprotected,Uncolonized hardbottom,2,50,4,11,190,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,1,0,10,0.002,2.64
,KUU3,Kaneohe,Unprotected,Uncolonized hardbottom,3,125,4,11.8,300,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KUU4,Kaneohe,Unprotected,Uncolonized hardbottom,4,125,4,12.6,280,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KUU5,Kaneohe,Unprotected,Uncolonized hardbottom,5,125,2,11.7,20,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KUU6,Kaneohe,Unprotected,Uncolonized hardbottom,6,125,16,15.3,225,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
9/8/18,KUU7,Kaneohe,Unprotected,Uncolonized hardbottom,7,50,5,12.4,130,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,5,0,10,0.002,2.64
9/8/18,KUU7,Kaneohe,Unprotected,Uncolonized hardbottom,7,50,5,12.4,130,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,8,0,10,0.002,2.64
9/8/18,KUU7,Kaneohe,Unprotected,Uncolonized hardbottom,7,50,5,12.4,130,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,10,0,10,0.002,2.64
9/8/18,KUU7,Kaneohe,Unprotected,Uncolonized hardbottom,7,50,5,12.4,130,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,1,0,10,0.002,2.64
9/8/18,KUU7,Kaneohe,Unprotected,Uncolonized hardbottom,7,50,5,12.4,130,ECMA,Echinometra mathaei,Urchin,Boring urchin,,17,0,10,0.002,2.64
,KUU8,Kaneohe,Unprotected,Uncolonized hardbottom,8,125,3,12.2,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,KUU9,Kaneohe,Unprotected,Uncolonized hardbottom,9,125,4,10.2,90,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
,NPC1,North Shore,Protected,Colonized hardbottom,1,125,44,12.44,140,ECMA,Echinometra mathaei,Urchin,Boring urchin,0,0,0,10,0.002,2.64
2/23/19,NPC10,North Shore,Protected,Colonized hardbottom,10,50,20,13.06,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,1,3,0,10,0.002,2.64
2/23/19,NPC10,North Shore,Protected,Colonized hardbottom,10,50,20,13.06,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,7,0,10,0.002,2.64
2/23/19,NPC10,North Shore,Protected,Colonized hardbottom,10,50,20,13.06,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,5,0,10,0.002,2.64
2/23/19,NPC10,North Shore,Protected,Colonized hardbottom,10,50,20,13.06,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,8,0,10,0.002,2.64
2/23/19,NPC10,North Shore,Protected,Colonized hardbottom,10,50,20,13.06,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,2,0,10,0.002,2.64
2/23/19,NPC10,North Shore,Protected,Colonized hardbottom,10,50,20,13.06,180,ECMA,Echinometra mathaei,Urchin,Boring urchin,,66,0,10,0.002,2.64
11/3/18,NPC2,North Shore,Protected,Colonized hardbottom,2,50,40,12,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,3,0,10,0.002,2.64
11/3/18,NPC2,North Shore,Protected,Colonized hardbottom,2,50,40,12,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,5,0,10,0.002,2.64
11/3/18,NPC2,North Shore,Protected,Colonized hardbottom,2,50,40,12,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,11,0,10,0.002,2.64
11/3/18,NPC2,North Shore,Protected,Colonized hardbottom,2,50,40,12,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,4,0,10,0.002,2.64
11/3/18,NPC2,North Shore,Protected,Colonized hardbottom,2,50,40,12,0,ECMA,Echinometra mathaei,Urchin,Boring urchin,,9,0,10,0.002,2.64
11/3/18,NPC3,North Shore,Protected,Colonized hardbottom,3,50,25,15.12,30,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,3,0,10,0.002,2.64
11/3/18,NPC3,North Shore,Protected,Colonized hardbottom,3,50,25,15.12,30,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,6,0,10,0.002,2.64
11/3/18,NPC3,North Shore,Protected,Colonized hardbottom,3,50,25,15.12,30,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,12,0,10,0.002,2.64
11/3/18,NPC3,North Shore,Protected,Colonized hardbottom,3,50,25,15.12,30,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,4,0,10,0.002,2.64
11/3/18,NPC3,North Shore,Protected,Colonized hardbottom,3,50,25,15.12,30,ECMA,Echinometra mathaei,Urchin,Boring urchin,,51,0,10,0.002,2.64
11/4/18,NPC4,North Shore,Protected,Colonized hardbottom,4,50,25,11.32,345,ECMA,Echinometra mathaei,Urchin,Boring urchin,1,3,0,10,0.002,2.64
11/4/18,NPC4,North Shore,Protected,Colonized hardbottom,4,50,25,11.32,345,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,3,0,10,0.002,2.64
11/4/18,NPC4,North Shore,Protected,Colonized hardbottom,4,50,25,11.32,345,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,7,0,10,0.002,2.64
11/4/18,NPC4,North Shore,Protected,Colonized hardbottom,4,50,25,11.32,345,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,9,0,10,0.002,2.64
11/4/18,NPC4,North Shore,Protected,Colonized hardbottom,4,50,25,11.32,345,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,3,0,10,0.002,2.64
11/4/18,NPC4,North Shore,Protected,Colonized hardbottom,4,50,25,11.32,345,ECMA,Echinometra mathaei,Urchin,Boring urchin,,141,0,10,0.002,2.64
11/4/18,NPC5,North Shore,Protected,Colonized hardbottom,5,50,22,14,200,ECMA,Echinometra mathaei,Urchin,Boring urchin,1,4,0,10,0.002,2.64
11/4/18,NPC5,North Shore,Protected,Colonized hardbottom,5,50,22,14,200,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,4,0,10,0.002,2.64
11/4/18,NPC5,North Shore,Protected,Colonized hardbottom,5,50,22,14,200,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,7,0,10,0.002,2.64
11/4/18,NPC5,North Shore,Protected,Colonized hardbottom,5,50,22,14,200,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,9,0,10,0.002,2.64
11/4/18,NPC5,North Shore,Protected,Colonized hardbottom,5,50,22,14,200,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,1,0,10,0.002,2.64
11/4/18,NPC5,North Shore,Protected,Colonized hardbottom,5,50,22,14,200,ECMA,Echinometra mathaei,Urchin,Boring urchin,,84,0,10,0.002,2.64
11/4/18,NPC6,North Shore,Protected,Colonized hardbottom,6,50,22,12.36,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,6,0,10,0.002,2.64
11/4/18,NPC6,North Shore,Protected,Colonized hardbottom,6,50,22,12.36,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,6,0,10,0.002,2.64
11/4/18,NPC6,North Shore,Protected,Colonized hardbottom,6,50,22,12.36,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,9,0,10,0.002,2.64
11/4/18,NPC6,North Shore,Protected,Colonized hardbottom,6,50,22,12.36,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,,56,0,10,0.002,2.64
2/23/19,NPC7,North Shore,Protected,Colonized hardbottom,7,50,19,11.43,20,ECMA,Echinometra mathaei,Urchin,Boring urchin,1,3,0,10,0.002,2.64
2/23/19,NPC7,North Shore,Protected,Colonized hardbottom,7,50,19,11.43,20,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,4,0,10,0.002,2.64
2/23/19,NPC7,North Shore,Protected,Colonized hardbottom,7,50,19,11.43,20,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,6,0,10,0.002,2.64
2/23/19,NPC7,North Shore,Protected,Colonized hardbottom,7,50,19,11.43,20,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,8,0,10,0.002,2.64
2/23/19,NPC7,North Shore,Protected,Colonized hardbottom,7,50,19,11.43,20,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,4,0,10,0.002,2.64
2/23/19,NPC7,North Shore,Protected,Colonized hardbottom,7,50,19,11.43,20,ECMA,Echinometra mathaei,Urchin,Boring urchin,,74,0,10,0.002,2.64
2/23/19,NPC8,North Shore,Protected,Colonized hardbottom,8,50,17,11.15,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,10,0,10,0.002,2.64
2/23/19,NPC8,North Shore,Protected,Colonized hardbottom,8,50,17,11.15,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,11,0,10,0.002,2.64
2/23/19,NPC8,North Shore,Protected,Colonized hardbottom,8,50,17,11.15,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,3,0,10,0.002,2.64
2/23/19,NPC8,North Shore,Protected,Colonized hardbottom,8,50,17,11.15,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,1,0,10,0.002,2.64
2/23/19,NPC8,North Shore,Protected,Colonized hardbottom,8,50,17,11.15,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,,64,0,10,0.002,2.64
2/23/19,NPC9,North Shore,Protected,Colonized hardbottom,9,50,16,12.06,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,3,0,10,0.002,2.64
2/23/19,NPC9,North Shore,Protected,Colonized hardbottom,9,50,16,12.06,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,13,0,10,0.002,2.64
2/23/19,NPC9,North Shore,Protected,Colonized hardbottom,9,50,16,12.06,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,5,0,10,0.002,2.64
2/23/19,NPC9,North Shore,Protected,Colonized hardbottom,9,50,16,12.06,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,4,0,10,0.002,2.64
2/23/19,NPC9,North Shore,Protected,Colonized hardbottom,9,50,16,12.06,150,ECMA,Echinometra mathaei,Urchin,Boring urchin,,73,0,10,0.002,2.64
11/3/18,NPU1,North Shore,Protected,Uncolonized hardbottom,1,50,5,10.22,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,1,1,0,10,0.002,2.64
11/3/18,NPU1,North Shore,Protected,Uncolonized hardbottom,1,50,5,10.22,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,4,0,10,0.002,2.64
11/3/18,NPU1,North Shore,Protected,Uncolonized hardbottom,1,50,5,10.22,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,10,0,10,0.002,2.64
11/3/18,NPU1,North Shore,Protected,Uncolonized hardbottom,1,50,5,10.22,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,8,0,10,0.002,2.64
11/3/18,NPU1,North Shore,Protected,Uncolonized hardbottom,1,50,5,10.22,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,,597,0,10,0.002,2.64
2/23/19,NPU10,North Shore,Protected,Uncolonized hardbottom,10,50,5,13.86,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,10,0,10,0.002,2.64
2/23/19,NPU10,North Shore,Protected,Uncolonized hardbottom,10,50,5,13.86,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,11,0,10,0.002,2.64
2/23/19,NPU10,North Shore,Protected,Uncolonized hardbottom,10,50,5,13.86,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,4,0,10,0.002,2.64
2/23/19,NPU10,North Shore,Protected,Uncolonized hardbottom,10,50,5,13.86,120,ECMA,Echinometra mathaei,Urchin,Boring urchin,,60,0,10,0.002,2.64
11/3/18,NPU2,North Shore,Protected,Uncolonized hardbottom,2,50,13,14.5,100,ECMA,Echinometra mathaei,Urchin,Boring urchin,1,1,0,10,0.002,2.64
11/3/18,NPU2,North Shore,Protected,Uncolonized hardbottom,2,50,13,14.5,100,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,1,0,10,0.002,2.64
11/3/18,NPU2,North Shore,Protected,Uncolonized hardbottom,2,50,13,14.5,100,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,10,0,10,0.002,2.64
11/3/18,NPU2,North Shore,Protected,Uncolonized hardbottom,2,50,13,14.5,100,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,7,0,10,0.002,2.64
11/3/18,NPU2,North Shore,Protected,Uncolonized hardbottom,2,50,13,14.5,100,ECMA,Echinometra mathaei,Urchin,Boring urchin,5,4,0,10,0.002,2.64
11/3/18,NPU2,North Shore,Protected,Uncolonized hardbottom,2,50,13,14.5,100,ECMA,Echinometra mathaei,Urchin,Boring urchin,6,1,0,10,0.002,2.64
11/3/18,NPU2,North Shore,Protected,Uncolonized hardbottom,2,50,13,14.5,100,ECMA,Echinometra mathaei,Urchin,Boring urchin,,288,0,10,0.002,2.64
11/3/18,NPU3,North Shore,Protected,Uncolonized hardbottom,3,50,31,11.82,95,ECMA,Echinometra mathaei,Urchin,Boring urchin,2,3,0,10,0.002,2.64
11/3/18,NPU3,North Shore,Protected,Uncolonized hardbottom,3,50,31,11.82,95,ECMA,Echinometra mathaei,Urchin,Boring urchin,3,8,0,10,0.002,2.64
11/3/18,NPU3,North Shore,Protected,Uncolonized hardbottom,3,50,31,11.82,95,ECMA,Echinometra mathaei,Urchin,Boring urchin,4,10,0,10,0.002,2.64
